geo_longitude,geo_latitude,Unique ID,Name,City,Neighborhood,Multi-System,System,Multi-Line,Lines,Service,Limited Service,Service Frequency,Terminus,Connections,Handicap Accessible,Status,Year Opened,Web Link,Web Link (HTML)
-71.118981,42.351504,1151,Pleasant Street,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.121883,42.351846,1152,Babcock Street,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.125471,42.351674,1153,Packards Corner,"Boston, MA",Allston,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.131398,42.350222,1154,Harvard Avenue,"Boston, MA",Allston,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,,,"<a href="""">Station Link</a>"
-71.13467,42.348678,1155,Griggs Street,"Boston, MA",Allston,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1900,,"<a href="""">Station Link</a>"
-71.138006,42.34869,1156,Allston Street,"Boston, MA",Allston,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1900,,"<a href="""">Station Link</a>"
-71.140487,42.348351,1157,Warren Street,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1900,,"<a href="""">Station Link</a>"
-71.14267,42.343996,1158,Washington Street,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1926,,"<a href="""">Station Link</a>"
-71.146259,42.341593,1159,Sutherland Road,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.151109,42.34058,1160,Chiswick Road,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.15306,42.338228,1161,Chestnut Hill Avenue,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.157256,42.339462,1162,South Street,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.16699,42.340215,1163,Boston College,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),TRUE,None,TRUE,Built,1896,,"<a href="""">Station Link</a>"
-71.107422,42.345973,1164,St. Marys Street,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,,,"<a href="""">Station Link</a>"
-71.111486,42.344839,1165,Hawes Street,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.114345,42.34404,1166,Kent Street,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.117244,42.343231,1167,St. Paul Street,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.12131,42.342165,1168,Coolidge Corner,"Brookline, MA",Coolidge Corner,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,,,"<a href="""">Station Link</a>"
-71.125874,42.341022,1169,Summit Avenue,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.128917,42.339999,1170,Brandon Hall,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.131346,42.339653,1171,Fairbanks Street,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.13499,42.339485,1172,Washington Square,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,,,"<a href="""">Station Link</a>"
-71.138542,42.338561,1173,Tappan Street,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1980s,,"<a href="""">Station Link</a>"
-71.142007,42.337796,1174,Dean Road,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.145679,42.336985,1175,Englewood Avenue,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.14913,42.336223,1176,Cleveland Circle,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),C (Green Line),FALSE,Constant (>70),TRUE,None,TRUE,Built,1889,,"<a href="""">Station Link</a>"
-71.104486,42.345156,1177,Fenway,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.10996,42.341623,1178,Longwood,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.11697,42.332595,1179,Brookline Village,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.126397,42.331329,1180,Brookline Hills,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.14044,42.335748,1181,Beaconsfield,"Brookline, MA",,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1959,,"<a href="""">Station Link</a>"
-71.148299,42.335125,1182,Reservoir,"Boston, MA",Brighton,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.164633,42.326788,1183,Chestnut Hill,"Newton, MA",Chestnut Hill,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1959,,"<a href="""">Station Link</a>"
-71.192192,42.329518,1184,Newton Centre,"Newton, MA",Newton Centre,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.205504,42.322352,1185,Newton Highlands,"Newton, MA",Newton Highlands,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1959,,"<a href="""">Station Link</a>"
-71.216553,42.318963,1186,Eliot,"Newton, MA",Newton Upper Falls,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1959,,"<a href="""">Station Link</a>"
-71.230466,42.325792,1187,Waban,"Newton, MA",Waban,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1959,,"<a href="""">Station Link</a>"
-71.243491,42.332922,1188,Woodland,"Newton, MA",Newton Lower Falls,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.252429,42.337483,1189,Riverside,"Newton, MA",Auburndale,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),D (Green Line),FALSE,Constant (>70),TRUE,None,TRUE,Built,1959,,"<a href="""">Station Link</a>"
-71.081307,42.345581,1190,Prudential,"Boston, MA",Back Bay,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1941,,"<a href="""">Station Link</a>"
-71.084916,42.342769,1191,Symphony,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,1941,,"<a href="""">Station Link</a>"
