geo_longitude,geo_latitude,Unique_ID,Name,City,Neighborhood,Multi_System,System,System_Code,Multi_Line,Lines,Service,Limited_Service,Service_Frequency,Terminus,Connections,Handicap_Accessible,Status,Year_Opened,Web_Link,Name_Link_HTML
-76.841438,39.102469,3990,Laurel,"Laurel, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,FALSE,Light (<15),FALSE,None,TRUE,Built,1884,https://en.wikipedia.org/wiki/Laurel_station_(MARC),"<a href=""https://en.wikipedia.org/wiki/Laurel_station_(MARC)"" target=""_blank"">Laurel</a>"
-76.834106,39.105566,3991,Laurel Racetrack,"Laurel, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,TRUE,Minimal (<5) (Special Events Only),FALSE,None,FALSE,Built,1910,https://en.wikipedia.org/wiki/Laurel_Race_Track_station,"<a href=""https://en.wikipedia.org/wiki/Laurel_Race_Track_station"" target=""_blank"">Laurel Racetrack</a>"
-76.796383,39.122886,3992,Savage,"Savage, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,FALSE,Light (<15),FALSE,None,TRUE,Built,1989,https://en.wikipedia.org/wiki/Savage_station,"<a href=""https://en.wikipedia.org/wiki/Savage_station"" target=""_blank"">Savage</a>"
-76.776363,39.15151,3993,Jessup,"Jessup, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,TRUE,Minimal (<5),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Jessup_station,"<a href=""https://en.wikipedia.org/wiki/Jessup_station"" target=""_blank"">Jessup</a>"
-76.745584,39.180886,3994,Dorsey,"Dorsey, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,FALSE,Light (<15),FALSE,None,TRUE,Built,1996,https://en.wikipedia.org/wiki/Dorsey_station,"<a href=""https://en.wikipedia.org/wiki/Dorsey_station"" target=""_blank"">Dorsey</a>"
-76.703988,39.224299,3995,St. Denis,"St. Denis, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,TRUE,Minimal (<5),FALSE,None,TRUE,Built,,https://en.wikipedia.org/wiki/St._Denis_station,"<a href=""https://en.wikipedia.org/wiki/St._Denis_station"" target=""_blank"">St. Denis</a>"
-76.84344,38.97309,3996,Seabrook,"Seabrook, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,FALSE,Moderate (<35),FALSE,None,TRUE,Built,1980,https://en.wikipedia.org/wiki/Seabrook_station,"<a href=""https://en.wikipedia.org/wiki/Seabrook_station"" target=""_blank"">Seabrook</a>"
-76.764951,39.017786,3997,Bowie State University,"Bowie, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,FALSE,Moderate (<35),FALSE,None,TRUE,Built,1989,https://en.wikipedia.org/wiki/Bowie_State_station,"<a href=""https://en.wikipedia.org/wiki/Bowie_State_station"" target=""_blank"">Bowie State University</a>"
-76.705831,39.087793,3998,Odenton,"Odenton, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,FALSE,Moderate (<35),FALSE,None,TRUE,Built,1989,https://en.wikipedia.org/wiki/Odenton_station,"<a href=""https://en.wikipedia.org/wiki/Odenton_station"" target=""_blank"">Odenton</a>"
-76.694711,39.192534,3999,BWI Airport,"Linthicum Heights, MD",,TRUE,"MARC Train, Amtrak","SA01, SA07",TRUE,"Penn Line (MARC Train), Vermonter (Amtrak), Acela Express (Amtrak), Northeast Regional (Amtrak), Palmetto (Amtrak)",,"Penn Line - False, Vermonter - True, Acela Express - False, Northeast Regional - False, Palmetto - True","Penn Line - Moderate (<35), Vermonter - Minimal (<5), Acela Express - Light (<15), Northeast Regional - Light (<15), Palmetto - Minimal (<5)",FALSE,None,TRUE,Built,1980,https://en.wikipedia.org/wiki/BWI_Rail_Station,"<a href=""https://en.wikipedia.org/wiki/BWI_Rail_Station"" target=""_blank"">BWI Airport</a>"
-76.691333,39.236954,4000,Halethorpe,"Halethorpe, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,FALSE,Moderate (<35),FALSE,None,TRUE,Built,2013,https://en.wikipedia.org/wiki/Halethorpe_station,"<a href=""https://en.wikipedia.org/wiki/Halethorpe_station"" target=""_blank"">Halethorpe</a>"
-76.653156,39.293352,4001,West Baltimore,"Baltimore, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,FALSE,Moderate (<35),FALSE,None,FALSE,Built,1984,https://en.wikipedia.org/wiki/West_Baltimore_station,"<a href=""https://en.wikipedia.org/wiki/West_Baltimore_station"" target=""_blank"">West Baltimore</a>"
-76.420005,39.338281,4002,Martin Airport,"Middle River, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,FALSE,Light (<15),TRUE,None,FALSE,Built,1991,https://en.wikipedia.org/wiki/Martin_State_Airport_station,"<a href=""https://en.wikipedia.org/wiki/Martin_State_Airport_station"" target=""_blank"">Martin Airport</a>"
-76.29274,39.415946,4003,Edgewood,"Edgewood, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,TRUE,Minimal (<5),FALSE,None,FALSE,Built,1991,https://en.wikipedia.org/wiki/Edgewood_station_(MARC),"<a href=""https://en.wikipedia.org/wiki/Edgewood_station_(MARC)"" target=""_blank"">Edgewood</a>"
-76.162972,39.508497,4004,Aberdeen,"Aberdeen, MD",,TRUE,"MARC Train, Amtrak","SA01, SA07",TRUE,"Penn Line (MARC Train), Northeast Regional (Amtrak)",,"Penn Line - True, Northeast Regional - True","Penn Line - Minimal (<5), Northeast Regional - Minimal (<5)",FALSE,None,FALSE,Built,1943,https://en.wikipedia.org/wiki/Aberdeen_station_(Maryland),"<a href=""https://en.wikipedia.org/wiki/Aberdeen_station_(Maryland)"" target=""_blank"">Aberdeen</a>"
-76.073712,39.557939,4005,Perryville,"Perryville, MD",,FALSE,MARC Train,SA07,FALSE,Penn Line (MARC Train),,TRUE,Minimal (<5),TRUE,None,FALSE,Built,1905,https://en.wikipedia.org/wiki/Perryville_station,"<a href=""https://en.wikipedia.org/wiki/Perryville_station"" target=""_blank"">Perryville</a>"
-78.758036,39.650533,4021,Cumberland,"Cumberland, MD",,FALSE,Amtrak,SA01,FALSE,Capitol Limited (Amtrak),,TRUE,Minimal (<5),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Cumberland_station_(Maryland),"<a href=""https://en.wikipedia.org/wiki/Cumberland_station_(Maryland)"" target=""_blank"">Cumberland</a>"
-77.993331,38.47213,4022,Culpeper,"Culpeper, VA",,FALSE,Amtrak,SA01,TRUE,"Northeast Regional (Amtrak), Crescent (Amtrak), Cardinal (Amtrak)",Roanoke Service (Northeast Regional),"Northeast Regional - True, Crescent - True, Cardinal - True","Northeast Regional - Minimal (<5), Crescent - Minimal (<5), Cardinal - Minimal (<5)",FALSE,None,TRUE,Built,1904,https://en.wikipedia.org/wiki/Culpeper_station,"<a href=""https://en.wikipedia.org/wiki/Culpeper_station"" target=""_blank"">Culpeper</a>"
-78.491989,38.031449,4023,Charlottesville,"Charlottesville, VA",,FALSE,Amtrak,SA01,TRUE,"Northeast Regional (Amtrak), Crescent (Amtrak), Cardinal (Amtrak)",Roanoke Service (Northeast Regional),"Northeast Regional - True, Crescent - True, Cardinal - True","Northeast Regional - Minimal (<5), Crescent - Minimal (<5), Cardinal - Minimal (<5)",FALSE,None,TRUE,Built,1885,https://en.wikipedia.org/wiki/Charlottesville_Union_Station,"<a href=""https://en.wikipedia.org/wiki/Charlottesville_Union_Station"" target=""_blank"">Charlottesville</a>"
-79.072355,38.14734,4024,Staunton,"Staunton, VA",,FALSE,Amtrak,SA01,FALSE,Cardinal (Amtrak),,TRUE,Minimal (<5),FALSE,None,FALSE,Built,1902,https://en.wikipedia.org/wiki/Staunton_station,"<a href=""https://en.wikipedia.org/wiki/Staunton_station"" target=""_blank"">Staunton</a>"
-79.827899,37.814126,4025,Clifton Forge,"Clifton Forge, VA",,FALSE,Amtrak,SA01,FALSE,Cardinal (Amtrak),,TRUE,Minimal (<5),FALSE,None,FALSE,Built,1902,https://en.wikipedia.org/wiki/Clifton_Forge_station,"<a href=""https://en.wikipedia.org/wiki/Clifton_Forge_station"" target=""_blank"">Clifton Forge</a>"
-80.303719,37.78646,4026,White Sulfer Springs,"White Sulfer Springs, WV",,FALSE,Amtrak,SA01,FALSE,Cardinal (Amtrak),,TRUE,Minimal (<5),FALSE,None,FALSE,Built,1931,https://en.wikipedia.org/wiki/White_Sulphur_Springs_station,"<a href=""https://en.wikipedia.org/wiki/White_Sulphur_Springs_station"" target=""_blank"">White Sulfer Springs</a>"
